Tuần,Hạng,Tên bài hát,Ca sĩ,Nhạc sĩ,Album,Có MV,Tổng Điểm,Số Tuần Đứng BXH,Điểm Trung Bình,Single
38,27,do em biet anh dang nghi gi,den justatee bien,den,do em biet anh dang nghi gi single,FALSE,104,4,26,TRUE
38,15,don coi tinh toi,chau khai phong,duy cuong,don coi tinh toi single,TRUE,193,9,21,TRUE
39,1,cang niu giu cang de mat,mr siro,mr siro,,FALSE,24,8,3,FALSE
39,22,gia ngay dau dung noi thuong nhau,isaac,ngoc dolil,gia ngay dau dung noi thuong nhau single,FALSE,22,1,22,TRUE
40,13,hongkong1 official version,nguyen trong tai san ji double x,nguyen trong taisan jidouble x,,FALSE,32,7,5,FALSE
41,19,thang dien,justatee phuong ly,virussjustatee,,TRUE,31,6,5,FALSE
41,21,yeu don phuong,onlyc karik,onlyckarik,,FALSE,91,6,15,FALSE
42,19,dung noi toi dien,hien ho,phuc bo,,FALSE,54,5,11,FALSE
42,22,nguoi am phu edm version,osad khanh vy,osad,nguoi am phu edm version single,FALSE,22,1,22,TRUE
42,17,nguoi ta,si thanh,huynh quoc huy,,FALSE,109,5,22,FALSE
42,23,nhu loi don,bao anh,khac hung,nhu loi don single,FALSE,100,5,20,TRUE
42,8,vo tinh,xesi hoaprox,xesi,vo tinh single,FALSE,15,5,3,TRUE
43,37,co mot noi nhu the,phan manh quynh,phan manh quynh,co mot noi nhu the single,FALSE,148,4,37,TRUE
43,25,em ngu chua,trinh thang binh osad,trinh thang binhosad,,FALSE,67,4,17,FALSE
43,11,mai mai se het vao ngay mai,andiez,andiez,,FALSE,47,4,12,FALSE
43,20,tam tu em giau,wendy thao,wendy thao,tam tu em giau single,FALSE,92,4,23,TRUE
44,5,chap nhan,hoa minzy,an trinh,chap nhan single,TRUE,17,3,6,TRUE
44,6,em khong the,tien tien touliver,tien tien,em khong the single,TRUE,11,3,4,TRUE
44,7,nguoi la thoang qua,khoi my,bao thach,nguoi la thoang qua single,FALSE,23,3,8,TRUE
45,31,tat ca se thay em,pham quynh anh,hamlet truong,tat ca se thay em single,TRUE,69,2,35,TRUE
45,30,yeu mot nguoi sau anh,gin tuan kiet,andiez,yeu mot nguoi sau anh single,TRUE,55,2,28,TRUE
46,1,anh dang o dau day anh,huong giang,andiez,anh dang o dau day anh single,TRUE,1,1,1,TRUE
46,8,mau nuoc mat,nguyen tran trung quan,nguyen thuong,mau nuoc mat single,TRUE,8,1,8,TRUE
